Volcano_Name,Volcano_Image,Volcano_Type,Country,Region,Subregion,epoch_period,Last_Eruption,Summit_and_Elevatiuon,Latitude,Longitude,population_within_5km,population_within_10km,population_within_30km,population_within_100km
Hornopiren,https://volcano.si.edu/gallery/photos/GVP-12161.jpg,Stratovolcano,Chile,South America,Southern Chile and Argentina,holocene,340 CE,"1572 m, 5157 ft",41.874°S,72.431°W,10,116,5345,332598
Hromundartindur,https://volcano.si.edu/gallery/photos/GVP-12081.jpg,Stratovolcano,Iceland,Iceland and Arctic Ocean,Iceland (southwestern),holocene,Unknown - Evidence Uncertain,"550 m, 1804 ft",64.083°N,21.333°W,5738,5738,26028,201964
Hualalai,https://volcano.si.edu/gallery/photos/GVP-03588.jpg,Shield,United States,Hawaii and Pacific Ocean,Hawaiian Islands,holocene,1801 CE,"2523 m, 8278 ft",19.692°N,155.87°W,35906,35906,46959,166240
Huambo,https://volcano.si.edu/gallery/photos/GVP-12339.jpg,Volcanic field,Peru,South America,Peru,holocene,700 BCE,"4554 m, 14941 ft",15.78°S,72.08°W,301,1157,7271,1028814
Huanquihue Group,https://volcano.si.edu/gallery/photos/GVP-11852.jpg,Stratovolcano(es),Argentina,South America,Central Chile and Argentina,holocene,1750 CE,"2189 m, 7182 ft",39.887°S,71.58°W,22,108,3515,190322
Huaynaputina,https://volcano.si.edu/gallery/photos/GVP-06868.jpg,Stratovolcano,Peru,South America,Peru,holocene,1600 CE,"4850 m, 15912 ft",16.608°S,70.85°W,36,210,9153,1088509
Hudson Mountains,https://volcano.si.edu/gallery/photos/GVP-11095.jpg,Stratovolcano(es),Antarctica,Antarctica,Antarctica and South Sandwich Islands,holocene,210 BCE,"749 m, 2457 ft",74.33°S,99.42°W,0,0,0,0
"Hudson, Cerro",https://volcano.si.edu/gallery/photos/GVP-04933.jpg,Stratovolcano,Chile,South America,Southern Chile and Argentina,holocene,2011 CE,"1905 m, 6250 ft",45.9°S,72.97°W,0,12,28,81642
Huequi,https://volcano.si.edu/gallery/photos/GVP-11062.jpg,Lava dome(s),Chile,South America,Southern Chile and Argentina,holocene,1920 CE,"1318 m, 4324 ft",42.377°S,72.578°W,0,7,1076,107960
"Huila, Nevado del",https://volcano.si.edu/gallery/photos/GVP-06802.jpg,Stratovolcano,Colombia,South America,Colombia,holocene,2012 CE,"5364 m, 17598 ft",2.93°N,76.03°W,659,3501,56737,4742651
Hulubelu,https://volcano.si.edu/gallery/photos/GVP-04514.jpg,Caldera,Indonesia,Indonesia,Sumatra,holocene,Unknown - Unrest / Holocene,"849 m, 2785 ft",5.334°S,104.59°E,56894,56894,99405,4261988
Hululais,https://volcano.si.edu/gallery/photos/GVP-06319.jpg,Compound,Indonesia,Indonesia,Sumatra,holocene,Unknown - Unrest / Holocene,"2122 m, 6962 ft",3.247°S,102.239°E,9,21,45038,1566370
"Humeros, Los",https://volcano.si.edu/gallery/photos/GVP-08583.jpg,Caldera(s),Mexico,México and Central America,Mexico,holocene,4470 BCE,"3150 m, 10335 ft",19.68°N,97.45°W,7461,27331,566898,5710131
Hunga Tonga-Hunga Ha'apai,https://volcano.si.edu/gallery/photos/GVP-10791.jpg,Submarine,Tonga,New Zealand to Fiji,Tonga Islands,holocene,2022 CE,"114 m, 374 ft",20.536°S,175.382°W,230,230,532,86213
Hunter Island,https://volcano.si.edu/gallery/photos/GVP-12598.jpg,Stratovolcano,France,Melanesia and Australia,Pacific Ocean (southwestern),holocene,1903 CE,"297 m, 974 ft",22.4°S,172.05°E,0,0,0,1
Hydrographers Range,https://volcano.si.edu/gallery/photos/GVP-00484.jpg,Stratovolcano,Papua New Guinea,Melanesia and Australia,New Guinea and D'Entrecasteaux Islands,holocene,Unknown - Evidence Credible,"1915 m, 6283 ft",9°S,148.37°E,585,1428,38537,136167
Iamalele,https://volcano.si.edu/gallery/photos/GVP-10866.jpg,Lava dome(s),Papua New Guinea,Melanesia and Australia,New Guinea and D'Entrecasteaux Islands,holocene,Unknown - Evidence Credible,"200 m, 656 ft",9.52°S,150.53°E,382,766,8026,113875
Ibu,https://volcano.si.edu/gallery/photos/GVP-10060.jpg,Stratovolcano,Indonesia,Indonesia,Halmahera,holocene,2022 CE,"1325 m, 4347 ft",1.488°N,127.63°E,1560,14549,64581,637988
Ichinsky,https://volcano.si.edu/gallery/photos/GVP-02527.jpg,Stratovolcano,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,holocene,1740 CE,"3596 m, 11798 ft",55.678°N,157.718°E,0,0,34,2670
Igwisi Hills,https://volcano.si.edu/gallery/photos/GVP-12579.jpg,Pyroclastic cone(s),Tanzania,Africa and Red Sea,Africa (eastern),holocene,10450 BCE,"1146 m, 3760 ft",4.889°S,31.933°E,37034,37034,105827,774440
Ijen,https://volcano.si.edu/gallery/photos/GVP-00781.jpg,Stratovolcano(es),Indonesia,Indonesia,Java,holocene,1999 CE,"2769 m, 9085 ft",8.058°S,114.242°E,1098,5504,664199,6846855
Iliamna,https://volcano.si.edu/gallery/photos/GVP-05295.jpg,Stratovolcano,United States,Alaska,Alaska (southwestern),holocene,1876 CE,"3053 m, 10016 ft",60.032°N,153.09°W,0,0,1,7564
Iliboleng,https://volcano.si.edu/gallery/photos/GVP-01231.jpg,Stratovolcano,Indonesia,Indonesia,Lesser Sunda Islands,holocene,1993 CE,"1659 m, 5443 ft",8.342°S,123.258°E,30359,87503,260688,757701
Iliinsky,https://volcano.si.edu/gallery/photos/GVP-05754.jpg,Stratovolcano,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,holocene,1901 CE,"1555 m, 5102 ft",51.498°N,157.203°E,0,0,410,4173
Ililabalekan,https://volcano.si.edu/gallery/photos/GVP-11078.jpg,Stratovolcano,Indonesia,Indonesia,Lesser Sunda Islands,holocene,Unknown - Unrest / Holocene,"1018 m, 3340 ft",8.55°S,123.38°E,7747,14260,123287,756090
Ilimuda,https://volcano.si.edu/gallery/photos/GVP-06341.jpg,Stratovolcano,Indonesia,Indonesia,Lesser Sunda Islands,holocene,Unknown - Unrest / Holocene,"881 m, 2890 ft",8.479°S,122.761°E,32343,72197,263803,903546
Iliwerung,https://volcano.si.edu/gallery/photos/GVP-10071.jpg,Complex,Indonesia,Indonesia,Lesser Sunda Islands,holocene,2021 CE,"583 m, 1913 ft",8.532°S,123.573°E,968,4318,79569,665081
Illiniza,https://volcano.si.edu/gallery/photos/GVP-04440.jpg,Stratovolcano,Ecuador,South America,Ecuador,holocene,Unknown - Evidence Credible,"5162 m, 16936 ft",0.663°S,78.715°W,535,6034,158371,3941221
Ilopango,https://volcano.si.edu/gallery/photos/GVP-07213.jpg,Caldera,El Salvador,México and Central America,El Salvador and Honduras,holocene,1880 CE,"450 m, 1476 ft",13.672°N,89.053°W,2049583,2049583,2948989,6689160
Imbabura,https://volcano.si.edu/gallery/photos/GVP-11699.jpg,Compound,Ecuador,South America,Ecuador,holocene,5550 BCE,"4609 m, 15121 ft",0.258°N,78.183°W,538,96294,477043,3245887
Imuruk Lake,https://volcano.si.edu/includes/images/noimage.jpg,Shield(s),United States,Alaska,Alaska (western),holocene,300 CE,"610 m, 2001 ft",65.517°N,163.45°W,0,0,0,0
"Incahuasi, Nevado de",https://volcano.si.edu/gallery/photos/GVP-11000.jpg,Stratovolcano(es),Chile,South America,"Northern Chile, Bolivia and Argentina",holocene,Unknown - Evidence Uncertain,"6638 m, 21778 ft",27.033°S,68.296°W,1,11,534,12195
Indian Heaven,https://volcano.si.edu/gallery/photos/GVP-02953.jpg,Shield(s),United States,Canada and Western USA,USA (Washington),holocene,6250 BCE,"1806 m, 5925 ft",45.93°N,121.82°W,687,687,6911,2019828
Infiernillo,https://volcano.si.edu/includes/images/noimage.jpg,Volcanic field,Argentina,South America,Central Chile and Argentina,holocene,6890 BCE,"3007 m, 9865 ft",35.123°S,69.9°W,270,270,1374,40368
Ingakslugwat Hills,https://volcano.si.edu/gallery/photos/GVP-12317.jpg,Pyroclastic cone(s),United States,Alaska,Alaska (western),holocene,Unknown - Evidence Credible,"190 m, 623 ft",61.43°N,164.47°W,0,0,0,4271
Inielika,https://volcano.si.edu/gallery/photos/GVP-10063.jpg,Complex,Indonesia,Indonesia,Lesser Sunda Islands,holocene,2001 CE,"1559 m, 5115 ft",8.73°S,120.98°E,4601,27281,162299,818815
Inierie,https://volcano.si.edu/gallery/photos/GVP-10062.jpg,Stratovolcano,Indonesia,Indonesia,Lesser Sunda Islands,holocene,8050 BCE,"2245 m, 7365 ft",8.875°S,120.95°E,1073,7501,101938,809293
Io-Torishima,https://volcano.si.edu/includes/images/noimage.jpg,Complex,Japan,"Japan, Taiwan, Marianas",Ryukyu Islands and Kyushu,holocene,1968 CE,"212 m, 696 ft",27.881°N,128.223°E,0,0,0,52818
Ioto,https://volcano.si.edu/gallery/photos/GVP-09554.jpg,Caldera,Japan,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",holocene,2012 CE,"169 m, 554 ft",24.751°N,141.289°E,1179,1179,1189,1370
Ipala,https://volcano.si.edu/gallery/photos/GVP-04040.jpg,Stratovolcano,Guatemala,México and Central America,Guatemala,holocene,Unknown - Evidence Credible,"1650 m, 5413 ft",14.55°N,89.63°W,3381,25003,332154,6136659
Iraya,https://volcano.si.edu/gallery/photos/GVP-11937.jpg,Stratovolcano,Philippines,Philippines and SE Asia,North of Luzon,holocene,1454 CE,"1009 m, 3310 ft",20.469°N,122.01°E,3087,4118,8255,12873
Irazu,https://volcano.si.edu/gallery/photos/GVP-08625.jpg,Stratovolcano,Costa Rica,México and Central America,Costa Rica,holocene,1994 CE,"3432 m, 11260 ft",9.979°N,83.852°W,1978,25442,1667528,3432860
Iriga,https://volcano.si.edu/gallery/photos/GVP-01849.jpg,Stratovolcano,Philippines,Philippines and SE Asia,Luzon,holocene,Unknown - Evidence Credible,"1138 m, 3734 ft",13.458°N,123.451°E,3712,142254,1159509,4399866
Irruputuncu,https://volcano.si.edu/gallery/photos/GVP-10977.jpg,Stratovolcano,Chile,South America,"Northern Chile, Bolivia and Argentina",holocene,1995 CE,"5163 m, 16939 ft",20.73°S,68.55°W,68,239,2852,16017
"Isabel, Isla",https://volcano.si.edu/gallery/photos/GVP-07978.jpg,Tuff cone(s),Mexico,México and Central America,Mexico,holocene,Unknown - Evidence Uncertain,"95 m, 312 ft",21.848°N,105.886°W,,,,
Isarog,https://volcano.si.edu/gallery/photos/GVP-01862.jpg,Stratovolcano,Philippines,Philippines and SE Asia,Luzon,holocene,3500 BCE,"1966 m, 6450 ft",13.658°N,123.38°E,146,27806,1208269,4291363
Ischia,https://volcano.si.edu/gallery/photos/GVP-10474.jpg,Complex,Italy,Mediterranean and Western Asia,Italy,holocene,1302 CE,"789 m, 2589 ft",40.73°N,13.897°E,18669,20210,383661,5729354
Iskut-Unuk River Cones,https://volcano.si.edu/gallery/photos/GVP-09644.jpg,Pyroclastic cone(s),Canada,Canada and Western USA,Canada,holocene,1800 CE,"1880 m, 6168 ft",56.58°N,130.55°W,0,0,0,663
Isluga,https://volcano.si.edu/gallery/photos/GVP-12534.jpg,Stratovolcano,Chile,South America,"Northern Chile, Bolivia and Argentina",holocene,1913 CE,"5550 m, 18209 ft",19.15°S,68.83°W,1,703,5961,32205
Itasy Volcanic Field,https://volcano.si.edu/gallery/photos/GVP-11474.jpg,Pyroclastic cone(s),Madagascar,Middle East and Indian Ocean,Indian Ocean (western),holocene,6050 BCE,"1800 m, 5906 ft",19.033°S,46.7°E,129121,129121,249291,4168513
"Ithnayn, Harrat",https://volcano.si.edu/gallery/photos/GVP-10419.jpg,Volcanic field,Saudi Arabia,Middle East and Indian Ocean,Middle East (southern),holocene,Unknown - Evidence Credible,"1625 m, 5331 ft",26.58°N,40.2°E,3112,3112,3112,19734
Ivao Group,https://volcano.si.edu/gallery/photos/GVP-12457.jpg,Pyroclastic cone(s),Russia,Kuril Islands,Kuril Islands,holocene,Unknown - Evidence Credible,"1426 m, 4678 ft",45.77°N,149.68°E,1,10,37,959
Iwakisan,https://volcano.si.edu/gallery/photos/GVP-10845.jpg,Stratovolcano,Japan,"Japan, Taiwan, Marianas",Honshu,holocene,1863 CE,"1625 m, 5331 ft",40.656°N,140.303°E,918,13229,465065,1617801
Iwatesan,https://volcano.si.edu/gallery/photos/GVP-02063.jpg,Complex,Japan,"Japan, Taiwan, Marianas",Honshu,holocene,1919 CE,"2038 m, 6686 ft",39.853°N,141.001°E,439,18462,415920,2976795
Ixtepeque,https://volcano.si.edu/gallery/photos/GVP-04039.jpg,Lava dome(s),Guatemala,México and Central America,Guatemala,holocene,Unknown - Evidence Credible,"1292 m, 4239 ft",14.42°N,89.68°W,131906,131906,374232,8263727
Iya,https://volcano.si.edu/gallery/photos/GVP-01222.jpg,Stratovolcano,Indonesia,Indonesia,Lesser Sunda Islands,holocene,1969 CE,"618 m, 2028 ft",8.891°S,121.641°E,10837,46835,62974,535387
Iyang-Argapura,https://volcano.si.edu/gallery/photos/GVP-01138.jpg,Complex,Indonesia,Indonesia,Java,holocene,Unknown - Evidence Credible,"3088 m, 10131 ft",7.97°S,113.57°E,372,11959,1601344,10538031
Izalco,https://volcano.si.edu/gallery/photos/GVP-04646.jpg,Stratovolcano,El Salvador,México and Central America,El Salvador and Honduras,holocene,1966 CE,"1950 m, 6398 ft",13.813°N,89.633°W,937,55665,1272308,6415818
Iztaccihuatl,https://volcano.si.edu/gallery/photos/GVP-07488.jpg,Stratovolcano,Mexico,México and Central America,Mexico,holocene,Unknown - Evidence Credible,"5230 m, 17159 ft",19.179°N,98.642°W,98,1343,1036172,27276280
Izu-Oshima,https://volcano.si.edu/gallery/photos/GVP-09077.jpg,Stratovolcano,Japan,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",holocene,1990 CE,"746 m, 2448 ft",34.724°N,139.394°E,2381,8037,8375,11837468
Izu-Tobu,https://volcano.si.edu/gallery/photos/GVP-10529.jpg,Pyroclastic cone(s),Japan,"Japan, Taiwan, Marianas",Honshu,holocene,1989 CE,"1406 m, 4613 ft",34.9°N,139.098°E,5886,61727,447660,17928355
Izu-Torishima,https://volcano.si.edu/gallery/photos/GVP-10199.jpg,Stratovolcano,Japan,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",holocene,2002 CE,"394 m, 1293 ft",30.484°N,140.303°E,21,21,21,21
Jackson Segment,https://volcano.si.edu/includes/images/noimage.jpg,Submarine,Undersea Features,Hawaii and Pacific Ocean,Pacific Ocean (northern),holocene,Unknown - Unrest / Holocene,"-3100 m, -10171 ft",42.15°N,127.05°W,,,,
Jailolo,https://volcano.si.edu/gallery/photos/GVP-11745.jpg,Stratovolcano,Indonesia,Indonesia,Halmahera,holocene,Unknown - Evidence Credible,"993 m, 3258 ft",1.08°N,127.439°E,7459,21868,79855,633186
Jan Mayen,https://volcano.si.edu/gallery/photos/GVP-11990.jpg,Stratovolcano,Norway,Iceland and Arctic Ocean,Atlantic Ocean (Jan Mayen),holocene,1985 CE,"2197 m, 7208 ft",71.082°N,8.155°W,0,0,0,0
Jaraguay Volcanic Field,https://volcano.si.edu/gallery/photos/GVP-07561.jpg,Pyroclastic cone(s),Mexico,México and Central America,Mexico,holocene,Unknown - Evidence Credible,"960 m, 3150 ft",29.33°N,114.5°W,1933,1933,3141,21934
Jatun Mundo Quri Warani,https://volcano.si.edu/gallery/photos/GVP-12656.jpg,Lava dome(s),Bolivia,South America,"Northern Chile, Bolivia and Argentina",holocene,Unknown - Evidence Uncertain,"5438 m, 17841 ft",19.78°S,66.48°W,73,341,6186,314777
"Jayu Khota, Laguna",https://volcano.si.edu/gallery/photos/GVP-12655.jpg,Maar(s),Bolivia,South America,"Northern Chile, Bolivia and Argentina",holocene,Unknown - Evidence Credible,"3650 m, 11975 ft",19.463°S,67.432°W,176,856,6757,70825
Jefferson,https://volcano.si.edu/gallery/photos/GVP-03011.jpg,Stratovolcano,United States,Canada and Western USA,USA (Oregon),holocene,950 CE,"3199 m, 10495 ft",44.674°N,121.8°W,0,0,823,556054
Jingbo,https://volcano.si.edu/includes/images/noimage.jpg,Volcanic field,China,Kamchatka and Mainland Asia,China (eastern),holocene,520 BCE,"1000 m, 3281 ft",44.08°N,128.83°E,35038,35038,149132,2372857
Jocotitlan,https://volcano.si.edu/gallery/photos/GVP-07445.jpg,Stratovolcano,Mexico,México and Central America,Mexico,holocene,1270 CE,"3900 m, 12795 ft",19.73°N,99.758°W,7220,84108,630469,24986674
Jom-Bolok,https://volcano.si.edu/gallery/photos/GVP-06488.jpg,Volcanic field,Russia,Kamchatka and Mainland Asia,Russia (southeastern),holocene,5180 BCE,"2047 m, 6716 ft",52.713°N,99.021°E,0,0,6,3578
