Volcano_Name,Volcano_Image,Volcano_Type,Country,Region,Subregion,epoch_period,Last_Eruption,Summit_and_Elevatiuon,Latitude,Longitude,population_within_5km,population_within_10km,population_within_30km,population_within_100km
Abu,https://volcano.si.edu/gallery/photos/GVP-08952.jpg,Shield(s),Japan,"Japan, Taiwan, Marianas",Honshu,holocene,6850 BCE,"641 m, 2103 ft",34.5°N,131.6°E,3597,9594,117805,4071152
Acamarachi,https://volcano.si.edu/gallery/photos/GVP-06887.jpg,Stratovolcano,Chile,South America,"Northern Chile, Bolivia and Argentina",holocene,Unknown - Evidence Credible,"6023 m, 19760 ft",23.292°S,67.618°W,0,7,294,9092
Acatenango,https://volcano.si.edu/gallery/photos/GVP-07880.jpg,Stratovolcano(es),Guatemala,México and Central America,Guatemala,holocene,1972 CE,"3976 m, 13045 ft",14.501°N,90.876°W,4329,60730,1042836,7634778
Acigol-Nevsehir,https://volcano.si.edu/includes/images/noimage.jpg,Caldera,Turkey,Mediterranean and Western Asia,Turkey,holocene,2080 BCE,"1683 m, 5522 ft",38.537°N,34.621°E,127863,127863,218469,2253483
Adams,https://volcano.si.edu/gallery/photos/GVP-02810.jpg,Stratovolcano,United States,Canada and Western USA,USA (Washington),holocene,950 CE,"3742 m, 12277 ft",46.206°N,121.49°W,0,70,4019,393303
Adams Seamount,https://volcano.si.edu/includes/images/noimage.jpg,Submarine,Undersea Features,Hawaii and Pacific Ocean,Pacific Ocean (central),holocene,50 BCE,"-39 m, -128 ft",25.37°S,129.27°W,0,0,0,44
Adatarayama,https://volcano.si.edu/gallery/photos/GVP-02055.jpg,Stratovolcano(es),Japan,"Japan, Taiwan, Marianas",Honshu,holocene,1996 CE,"1728 m, 5669 ft",37.647°N,140.281°E,428,3936,717078,5024654
Adwa,https://volcano.si.edu/gallery/photos/GVP-11729.jpg,Stratovolcano,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,Unknown - Evidence Credible,"1670 m, 5479 ft",10.063°N,40.831°E,101,485,18645,1242922
Afdera,https://volcano.si.edu/gallery/photos/GVP-09903.jpg,Stratovolcano,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,Unknown - Evidence Uncertain,"1250 m, 4101 ft",13.088°N,40.853°E,51,6042,8611,161009
Agrigan,https://volcano.si.edu/gallery/photos/GVP-09520.jpg,Stratovolcano,United States,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",holocene,1917 CE,"965 m, 3166 ft",18.77°N,145.67°E,0,0,0,0
Agua,https://volcano.si.edu/gallery/photos/GVP-04638.jpg,Stratovolcano,Guatemala,México and Central America,Guatemala,holocene,Unknown - Evidence Credible,"3760 m, 12336 ft",14.465°N,90.743°W,9890,114404,2530449,7441660
Agua de Pau,https://volcano.si.edu/gallery/photos/GVP-06110.jpg,Stratovolcano,Portugal,Atlantic Ocean,Azores,holocene,1564 CE,"947 m, 3107 ft",37.77°N,25.47°W,406,17272,113131,119653
Aguilera,https://volcano.si.edu/gallery/photos/GVP-12662.jpg,Stratovolcano,Chile,South America,Southern Chile and Argentina,holocene,1250 BCE,"2546 m, 8353 ft",50.33°S,73.75°W,0,0,103,5698
Agung,https://volcano.si.edu/gallery/photos/GVP-01738.jpg,Stratovolcano,Indonesia,Indonesia,Lesser Sunda Islands,holocene,2019 CE,"2997 m, 9833 ft",8.343°S,115.508°E,5657,76781,968381,4550176
Ahyi,https://volcano.si.edu/gallery/photos/GVP-11697.jpg,Submarine,United States,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",holocene,2014 CE,"-75 m, -246 ft",20.42°N,145.03°E,0,0,0,0
Aira,https://volcano.si.edu/gallery/photos/GVP-10567.jpg,Caldera,Japan,"Japan, Taiwan, Marianas",Ryukyu Islands and Kyushu,holocene,2022 CE,"1117 m, 3665 ft",31.593°N,130.657°E,4918,113874,905254,2610033
Akademia Nauk,https://volcano.si.edu/gallery/photos/GVP-02346.jpg,Stratovolcano(es),Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,holocene,1996 CE,"1180 m, 3871 ft",53.98°N,159.45°E,3,3,615,12484
Akagisan,https://volcano.si.edu/gallery/photos/GVP-02024.jpg,Stratovolcano,Japan,"Japan, Taiwan, Marianas",Honshu,holocene,Unknown - Evidence Uncertain,"1828 m, 5997 ft",36.56°N,139.193°E,961,4538,1116366,16718375
Akan,https://volcano.si.edu/gallery/photos/GVP-05610.jpg,Caldera,Japan,"Japan, Taiwan, Marianas",Hokkaido,holocene,2008 CE,"1499 m, 4918 ft",43.384°N,144.013°E,2062,2062,9756,929538
Akandanayama,https://volcano.si.edu/gallery/photos/GVP-12610.jpg,Stratovolcano,Japan,"Japan, Taiwan, Marianas",Honshu,holocene,Unknown - Evidence Credible,"2109 m, 6919 ft",36.2°N,137.573°E,,,,
Akita-Komagatake,https://volcano.si.edu/gallery/photos/GVP-08922.jpg,Stratovolcano(es),Japan,"Japan, Taiwan, Marianas",Honshu,holocene,1971 CE,"1637 m, 5371 ft",39.761°N,140.799°E,376,3864,216708,2521611
Akita-Yakeyama,https://volcano.si.edu/gallery/photos/GVP-10502.jpg,Stratovolcano,Japan,"Japan, Taiwan, Marianas",Honshu,holocene,1997 CE,"1366 m, 4482 ft",39.964°N,140.757°E,127,721,55493,3122037
Akusekijima,https://volcano.si.edu/gallery/photos/GVP-11795.jpg,Stratovolcano(es),Japan,"Japan, Taiwan, Marianas",Ryukyu Islands and Kyushu,holocene,Unknown - Evidence Uncertain,"555 m, 1821 ft",29.465°N,129.594°E,52,52,199,749
Akutan,https://volcano.si.edu/gallery/photos/GVP-04544.jpg,Stratovolcano,United States,Alaska,Aleutian Islands,holocene,1992 CE,"1303 m, 4275 ft",54.134°N,165.986°W,0,24,233,4361
Alaid,https://volcano.si.edu/gallery/photos/GVP-02280.jpg,Stratovolcano,Russia,Kuril Islands,Kuril Islands,holocene,2018 CE,"2285 m, 7497 ft",50.861°N,155.565°E,0,64,64,2887
Alamagan,https://volcano.si.edu/gallery/photos/GVP-02138.jpg,Stratovolcano,United States,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",holocene,870 CE,"744 m, 2441 ft",17.6°N,145.83°E,0,0,0,0
Alayta,https://volcano.si.edu/gallery/photos/GVP-11181.jpg,Shield,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,1915 CE,"1496 m, 4908 ft",12.888°N,40.573°E,156,925,13459,330411
Alcedo,https://volcano.si.edu/gallery/photos/GVP-04737.jpg,Shield,Ecuador,South America,Galapagos Islands,holocene,1993 CE,"1130 m, 3707 ft",0.43°S,91.12°W,290,290,388,10756
Ale Bagu,https://volcano.si.edu/gallery/photos/GVP-11726.jpg,Stratovolcano,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,Unknown - Evidence Credible,"988 m, 3241 ft",13.512°N,40.631°E,2,919,8424,278270
Alid,https://volcano.si.edu/gallery/photos/GVP-05954.jpg,Stratovolcano,Eritrea,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,Unknown - Evidence Credible,"904 m, 2966 ft",14.88°N,39.92°E,517,2447,25942,1216179
Aliso,https://volcano.si.edu/gallery/photos/GVP-12335.jpg,Stratovolcano,Ecuador,South America,Ecuador,holocene,2450 BCE,"4267 m, 13999 ft",0.53°S,78°W,,,,
Alligator Lake,https://volcano.si.edu/gallery/photos/GVP-12320.jpg,Volcanic field,Canada,Canada and Western USA,Canada,holocene,Unknown - Evidence Credible,"2217 m, 7274 ft",60.42°N,135.42°W,0,0,47,20636
Almolonga,https://volcano.si.edu/gallery/photos/GVP-03877.jpg,Stratovolcano,Guatemala,México and Central America,Guatemala,holocene,1818 CE,"3173 m, 10410 ft",14.797°N,91.519°W,91323,287487,1126942,6828403
Alney-Chashakondzha,https://volcano.si.edu/gallery/photos/GVP-11773.jpg,Stratovolcano,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,holocene,1600 CE,"2570 m, 8432 ft",56.656°N,159.647°E,0,0,3,10679
Alu-Dalafilla,https://volcano.si.edu/gallery/photos/GVP-09907.jpg,Fissure vent(s),Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,2008 CE,"578 m, 1896 ft",13.793°N,40.553°E,0,9,11209,478054
Aluto,https://volcano.si.edu/gallery/photos/GVP-10426.jpg,Stratovolcano,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,50 BCE,"2335 m, 7661 ft",7.77°N,38.78°E,6011,25619,314216,6813710
Amak,https://volcano.si.edu/gallery/photos/GVP-09559.jpg,Stratovolcano,United States,Alaska,Aleutian Islands,holocene,1796 CE,"488 m, 1601 ft",55.424°N,163.149°W,0,0,0,1345
Amasing,https://volcano.si.edu/gallery/photos/GVP-11708.jpg,Stratovolcano(es),Indonesia,Indonesia,Halmahera,holocene,Unknown - Evidence Credible,"1030 m, 3379 ft",0.53°S,127.48°E,59,803,26015,92417
Ambae,https://volcano.si.edu/gallery/photos/GVP-11911.jpg,Shield,Vanuatu,Melanesia and Australia,Vanuatu,holocene,2022 CE,"1496 m, 4908 ft",15.389°S,167.835°E,73,1279,4326,73308
Ambalatungan Group,https://volcano.si.edu/gallery/photos/GVP-12608.jpg,Compound,Philippines,Philippines and SE Asia,Luzon,holocene,Unknown - Unrest / Holocene,"2329 m, 7641 ft",17.32°N,121.1°E,493,3803,55724,4652400
Ambang,https://volcano.si.edu/gallery/photos/GVP-04534.jpg,Complex,Indonesia,Indonesia,Sulawesi,holocene,2005 CE,"1795 m, 5889 ft",0.75°N,124.42°E,9155,46469,319137,1730602
Ambitle,https://volcano.si.edu/gallery/photos/GVP-10768.jpg,Stratovolcano,Papua New Guinea,Melanesia and Australia,New Ireland,holocene,350 BCE,"450 m, 1476 ft",4.08°S,153.65°E,1643,9195,9779,24367
Ambre-Bobaomby,https://volcano.si.edu/gallery/photos/GVP-12396.jpg,Volcanic field,Madagascar,Middle East and Indian Ocean,Indian Ocean (western),holocene,Unknown - Evidence Credible,"1475 m, 4839 ft",12.6°S,49.15°E,20396,20396,51426,408436
Ambrym,https://volcano.si.edu/gallery/photos/GVP-11913.jpg,Pyroclastic shield,Vanuatu,Melanesia and Australia,Vanuatu,holocene,2022 CE,"1334 m, 4377 ft",16.25°S,168.12°E,9,186,10826,63999
Amsterdam Island,https://volcano.si.edu/gallery/photos/GVP-11076.jpg,Stratovolcano,France,Middle East and Indian Ocean,Indian Ocean (southern),holocene,Unknown - Evidence Credible,"881 m, 2890 ft",37.83°S,77.52°E,0,0,0,0
Amukta,https://volcano.si.edu/gallery/photos/GVP-08553.jpg,Stratovolcano,United States,Alaska,Aleutian Islands,holocene,1997 CE,"1066 m, 3497 ft",52.5°N,171.252°W,0,0,0,0
Anatahan,https://volcano.si.edu/gallery/photos/GVP-10882.jpg,Stratovolcano,United States,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",holocene,2008 CE,"790 m, 2592 ft",16.35°N,145.67°E,0,0,0,0
Andahua-Orcopampa,https://volcano.si.edu/gallery/photos/GVP-04763.jpg,Pyroclastic cone(s),Peru,South America,Peru,holocene,1490 CE,"4713 m, 15463 ft",15.42°S,72.33°W,10317,10317,16541,171897
Andrus,https://volcano.si.edu/gallery/photos/GVP-06214.jpg,Shield(s),Antarctica,Antarctica,Antarctica and South Sandwich Islands,holocene,Unknown - Evidence Uncertain,"2978 m, 9770 ft",75.8°S,132.33°W,0,0,0,0
Aneityum,https://volcano.si.edu/gallery/photos/GVP-11113.jpg,Stratovolcano(es),Vanuatu,Melanesia and Australia,Vanuatu,holocene,Unknown - Evidence Uncertain,"852 m, 2795 ft",20.2°S,169.78°E,176,692,703,22731
Aniakchak,https://volcano.si.edu/gallery/photos/GVP-05339.jpg,Caldera,United States,Alaska,Alaska Peninsula,holocene,1931 CE,"1341 m, 4400 ft",56.88°N,158.17°W,0,0,36,479
Ankaizina Field,https://volcano.si.edu/gallery/photos/GVP-12590.jpg,Pyroclastic cone(s),Madagascar,Middle East and Indian Ocean,Indian Ocean (western),holocene,Unknown - Evidence Credible,"2878 m, 9442 ft",14.3°S,48.67°E,9628,9628,41916,637393
Antillanca Volcanic Complex,https://volcano.si.edu/gallery/photos/GVP-10261.jpg,Stratovolcano(es),Chile,South America,Central Chile and Argentina,holocene,230 BCE,"1979 m, 6493 ft",40.783°S,72.15°W,87,521,5986,530586
Antisana,https://volcano.si.edu/gallery/photos/GVP-04437.jpg,Stratovolcano,Ecuador,South America,Ecuador,holocene,1802 CE,"5753 m, 18875 ft",0.481°S,78.141°W,232,2220,56154,3314142
Antofagasta Volcanic Field,https://volcano.si.edu/gallery/photos/GVP-09614.jpg,Pyroclastic cone(s),Argentina,South America,"Northern Chile, Bolivia and Argentina",holocene,Unknown - Evidence Uncertain,"3495 m, 11467 ft",26.12°S,67.4°W,188,188,257,4295
Antuco,https://volcano.si.edu/gallery/photos/GVP-04853.jpg,Stratovolcano,Chile,South America,Central Chile and Argentina,holocene,1869 CE,"2979 m, 9774 ft",37.406°S,71.349°W,117,474,3872,381623
Aogashima,https://volcano.si.edu/gallery/photos/GVP-03001.jpg,Stratovolcano,Japan,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",holocene,1785 CE,"423 m, 1388 ft",32.458°N,139.759°E,232,232,232,8559
Apagado,https://volcano.si.edu/gallery/photos/GVP-12165.jpg,Pyroclastic cone,Chile,South America,Southern Chile and Argentina,holocene,590 BCE,"1210 m, 3970 ft",41.88°S,72.58°W,5,44,4474,354002
Apaneca Range,https://volcano.si.edu/gallery/photos/GVP-07731.jpg,Stratovolcano(es),El Salvador,México and Central America,El Salvador and Honduras,holocene,Unknown - Evidence Credible,"2028 m, 6654 ft",13.872°N,89.742°W,11141,151502,1113282,6215853
Apastepeque Field,https://volcano.si.edu/gallery/photos/GVP-07269.jpg,Volcanic field,El Salvador,México and Central America,El Salvador and Honduras,holocene,Unknown - Evidence Credible,"700 m, 2297 ft",13.72°N,88.77°W,377730,377730,687849,6372608
Apo,https://volcano.si.edu/gallery/photos/GVP-11962.jpg,Stratovolcano,Philippines,Philippines and SE Asia,Mindanao,holocene,Unknown - Unrest / Holocene,"2938 m, 9639 ft",6.989°N,125.269°E,1355,5431,767800,7768291
Apoyeque,https://volcano.si.edu/gallery/photos/GVP-04174.jpg,Pyroclastic shield,Nicaragua,México and Central America,Nicaragua,holocene,50 BCE,"518 m, 1699 ft",12.242°N,86.342°W,2369,116718,1342581,3445854
Aracar,https://volcano.si.edu/gallery/photos/GVP-12538.jpg,Stratovolcano,Argentina,South America,"Northern Chile, Bolivia and Argentina",holocene,Unknown - Evidence Credible,"6095 m, 19997 ft",24.29°S,67.783°W,0,0,94,4803
Aragats,https://volcano.si.edu/gallery/photos/GVP-10141.jpg,Stratovolcano,Armenia,Mediterranean and Western Asia,Western Asia,holocene,Unknown - Evidence Credible,"4095 m, 13435 ft",40.53°N,44.2°E,0,163,150143,3046562
"Aramuaca, Laguna",https://volcano.si.edu/gallery/photos/GVP-07726.jpg,Maar,El Salvador,México and Central America,El Salvador and Honduras,holocene,Unknown - Evidence Credible,"181 m, 594 ft",13.428°N,88.105°W,15772,132109,699308,3009012
Ararat,https://volcano.si.edu/gallery/photos/GVP-12038.jpg,Stratovolcano,Turkey,Mediterranean and Western Asia,Turkey,holocene,1840 CE,"5165 m, 16946 ft",39.7°N,44.3°E,25,1239,135563,2811646
Arayat,https://volcano.si.edu/gallery/photos/GVP-08955.jpg,Stratovolcano,Philippines,Philippines and SE Asia,Luzon,holocene,Unknown - Evidence Uncertain,"1026 m, 3366 ft",15.2°N,120.742°E,7846,190674,2805269,27216491
Ardoukoba,https://volcano.si.edu/gallery/photos/GVP-10404.jpg,Fissure vent(s),Djibouti,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,1978 CE,"298 m, 978 ft",11.58°N,42.47°E,2895,2895,6898,560146
Arenal,https://volcano.si.edu/gallery/photos/GVP-08129.jpg,Stratovolcano,Costa Rica,México and Central America,Costa Rica,holocene,2010 CE,"1670 m, 5479 ft",10.463°N,84.703°W,3429,15643,96512,3027485
"Arhab, Harra of",https://volcano.si.edu/gallery/photos/GVP-12582.jpg,Volcanic field,Yemen,Middle East and Indian Ocean,Middle East (southern),holocene,500 CE,"3100 m, 10171 ft",15.63°N,44.08°E,284443,284443,820695,6517834
Arjuno-Welirang,https://volcano.si.edu/gallery/photos/GVP-04531.jpg,Stratovolcano,Indonesia,Indonesia,Java,holocene,1952 CE,"3343 m, 10968 ft",7.733°S,112.575°E,2584,53983,4143137,25385433
Arxan-Chaihe,https://volcano.si.edu/gallery/photos/GVP-12644.jpg,Pyroclastic cone(s),China,Kamchatka and Mainland Asia,China (eastern),holocene,0 CE,"1677 m, 5502 ft",47.45°N,120.8°E,6435,6435,6435,188163
Asacha,https://volcano.si.edu/gallery/photos/GVP-05816.jpg,Complex,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,holocene,Unknown - Evidence Credible,"1910 m, 6266 ft",52.355°N,157.827°E,0,0,34,238467
Asamayama,https://volcano.si.edu/gallery/photos/GVP-01465.jpg,Complex,Japan,"Japan, Taiwan, Marianas",Honshu,holocene,2019 CE,"2568 m, 8425 ft",36.406°N,138.523°E,583,22371,457576,7629353
Asavyo,https://volcano.si.edu/gallery/photos/GVP-11212.jpg,Shield,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,Unknown - Evidence Credible,"1338 m, 4390 ft",13.098°N,41.599°E,84,479,7697,47836
Ascension,https://volcano.si.edu/gallery/photos/GVP-11199.jpg,Stratovolcano,United Kingdom,Atlantic Ocean,Atlantic Ocean (central),holocene,1508 CE,"858 m, 2815 ft",7.95°S,14.37°W,614,1149,1149,1149
Askja,https://volcano.si.edu/gallery/photos/GVP-06001.jpg,Stratovolcano,Iceland,Iceland and Arctic Ocean,Iceland (northeastern),holocene,1961 CE,"1080 m, 3543 ft",65.033°N,16.783°W,0,0,0,13028
Asosan,https://volcano.si.edu/gallery/photos/GVP-01998.jpg,Caldera,Japan,"Japan, Taiwan, Marianas",Ryukyu Islands and Kyushu,holocene,2021 CE,"1592 m, 5223 ft",32.884°N,131.104°E,75559,75559,234591,6507519
Assab Volcanic Field,https://volcano.si.edu/gallery/photos/GVP-11176.jpg,Volcanic field,Eritrea,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,Unknown - Evidence Credible,"987 m, 3238 ft",12.95°N,42.43°E,9,9,97,181952
Asuncion,https://volcano.si.edu/gallery/photos/GVP-09518.jpg,Stratovolcano,United States,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",holocene,1906 CE,"857 m, 2812 ft",19.671°N,145.406°E,0,0,0,0
Ata,https://volcano.si.edu/gallery/photos/GVP-01322.jpg,Caldera(s),Japan,"Japan, Taiwan, Marianas",Ryukyu Islands and Kyushu,holocene,885 CE,"924 m, 3031 ft",31.22°N,130.57°E,93134,93134,171590,1891380
Atacazo,https://volcano.si.edu/gallery/photos/GVP-04432.jpg,Stratovolcano,Ecuador,South America,Ecuador,holocene,320 BCE,"4463 m, 14642 ft",0.353°S,78.617°W,449,212988,1837303,3769593
Atakor Volcanic Field,https://volcano.si.edu/gallery/photos/GVP-11927.jpg,Pyroclastic cone(s),Algeria,Africa and Red Sea,Africa (northern),holocene,Unknown - Evidence Credible,"2918 m, 9573 ft",23.33°N,5.83°E,0,0,0,116453
Atitlan,https://volcano.si.edu/gallery/photos/GVP-07853.jpg,Stratovolcano(es),Guatemala,México and Central America,Guatemala,holocene,1853 CE,"3535 m, 11598 ft",14.583°N,91.186°W,2303,70431,664649,8029695
Atka Volcanic Complex,https://volcano.si.edu/gallery/photos/GVP-12046.jpg,Stratovolcano(es),United States,Alaska,Aleutian Islands,holocene,2007 CE,"1518 m, 4980 ft",52.331°N,174.139°W,0,0,207,207
Atlin Volcanic Field,https://volcano.si.edu/gallery/photos/GVP-09639.jpg,Pyroclastic cone(s),Canada,Canada and Western USA,Canada,holocene,Unknown - Evidence Credible,"1880 m, 6168 ft",59.68°N,133.32°W,0,0,94,956
"Atlixcos, Los",https://volcano.si.edu/gallery/photos/GVP-10185.jpg,Shield,Mexico,México and Central America,Mexico,holocene,Unknown - Evidence Credible,"775 m, 2543 ft",19.81°N,96.527°W,5792,13732,115456,2971490
"Atuel, Caldera del",https://volcano.si.edu/gallery/photos/GVP-11450.jpg,Caldera,Argentina,South America,Central Chile and Argentina,holocene,Unknown - Evidence Credible,"5189 m, 17024 ft",34.65°S,70.05°W,297,297,1003,676916
Auckland Volcanic Field,https://volcano.si.edu/gallery/photos/GVP-08806.jpg,Volcanic field,New Zealand,New Zealand to Fiji,New Zealand,holocene,1446 CE,"260 m, 853 ft",36.89°S,174.81°E,1049110,1049110,1222436,1446768
Augustine,https://volcano.si.edu/gallery/photos/GVP-02665.jpg,Lava dome(s),United States,Alaska,Alaska (southwestern),holocene,2006 CE,"1252 m, 4108 ft",59.363°N,153.43°W,0,0,0,759
"Auquihuato, Cerro",https://volcano.si.edu/gallery/photos/GVP-12337.jpg,Pyroclastic cone,Peru,South America,Peru,holocene,Unknown - Evidence Uncertain,"4980 m, 16339 ft",15.07°S,73.18°W,213,1324,12228,173927
Avachinsky,https://volcano.si.edu/gallery/photos/GVP-02335.jpg,Stratovolcano,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,holocene,2001 CE,"2717 m, 8914 ft",53.256°N,158.836°E,0,0,180016,270205
Awu,https://volcano.si.edu/gallery/photos/GVP-12023.jpg,Stratovolcano,Indonesia,Indonesia,Sangihe Islands,holocene,2004 CE,"1318 m, 4324 ft",3.689°N,125.447°E,6409,22655,52725,58719
Axial Seamount,https://volcano.si.edu/gallery/photos/GVP-11887.jpg,Submarine,Undersea Features,Hawaii and Pacific Ocean,Pacific Ocean (northern),holocene,2015 CE,"-1410 m, -4626 ft",45.95°N,130°W,0,0,0,0
Ayelu,https://volcano.si.edu/gallery/photos/GVP-00143.jpg,Stratovolcano,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,Unknown - Evidence Credible,"2145 m, 7037 ft",10.082°N,40.702°E,193,1375,33262,1279214
Azas Plateau,https://volcano.si.edu/gallery/photos/GVP-06483.jpg,Volcanic field,Russia,Kamchatka and Mainland Asia,Russia (southeastern),holocene,Unknown - Evidence Credible,"2765 m, 9072 ft",52.433°N,98.303°E,142,142,142,4532
Azufral,https://volcano.si.edu/gallery/photos/GVP-04391.jpg,Stratovolcano,Colombia,South America,Colombia,holocene,930 BCE,"4070 m, 13353 ft",1.08°N,77.68°W,4334,40657,387292,1817609
"Azul, Cerro",https://volcano.si.edu/gallery/photos/GVP-09242.jpg,Shield,Ecuador,South America,Galapagos Islands,holocene,2008 CE,"1640 m, 5381 ft",0.92°S,91.408°W,220,220,314,1936
"Azul, Cerro",https://volcano.si.edu/gallery/photos/GVP-06940.jpg,Stratovolcano,Chile,South America,Central Chile and Argentina,holocene,1967 CE,"3788 m, 12428 ft",35.653°S,70.761°W,9,158,3832,720948
Azumayama,https://volcano.si.edu/gallery/photos/GVP-02056.jpg,Stratovolcano(es),Japan,"Japan, Taiwan, Marianas",Honshu,holocene,1977 CE,"1949 m, 6394 ft",37.735°N,140.244°E,128,907,548195,4877648
Babuyan Claro,https://volcano.si.edu/gallery/photos/GVP-11932.jpg,Stratovolcano(es),Philippines,Philippines and SE Asia,North of Luzon,holocene,1924 CE,"1064 m, 3491 ft",19.524°N,121.95°E,208,222,222,11819
Bachelor,https://volcano.si.edu/gallery/photos/GVP-03125.jpg,Stratovolcano,United States,Canada and Western USA,USA (Oregon),holocene,5800 BCE,"2763 m, 9065 ft",43.979°N,121.688°W,18,24,22514,231420
Bagana,https://volcano.si.edu/gallery/photos/GVP-00500.jpg,Lava cone,Papua New Guinea,Melanesia and Australia,Bougainville and Solomon Islands,holocene,2022 CE,"1855 m, 6086 ft",6.137°S,155.196°E,198,404,7861,115257
Bakening,https://volcano.si.edu/gallery/photos/GVP-02340.jpg,Stratovolcano,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,holocene,550 BCE,"2278 m, 7474 ft",53.905°N,158.07°E,0,10,1583,87139
Baker,https://volcano.si.edu/gallery/photos/GVP-02736.jpg,Stratovolcano(es),United States,Canada and Western USA,USA (Washington),holocene,1880 CE,"3285 m, 10778 ft",48.777°N,121.813°W,0,46,8568,1990504
Balbi,https://volcano.si.edu/gallery/photos/GVP-00496.jpg,Stratovolcano,Papua New Guinea,Melanesia and Australia,Bougainville and Solomon Islands,holocene,Unknown - Evidence Credible,"2715 m, 8907 ft",5.92°S,154.98°E,314,505,11904,127928
Balhaf-Bir Ali Volcanic Field,https://volcano.si.edu/gallery/photos/GVP-11241.jpg,Volcanic field,Yemen,Middle East and Indian Ocean,Middle East (southern),holocene,Unknown - Evidence Credible,"604 m, 1982 ft",14.067°N,48.3°E,5690,5690,6643,177124
Baluan,https://volcano.si.edu/gallery/photos/GVP-11524.jpg,Stratovolcano,Papua New Guinea,Melanesia and Australia,Admiralty Islands,holocene,Unknown - Evidence Uncertain,"254 m, 833 ft",2.57°S,147.28°E,242,248,982,46898
Baluran,https://volcano.si.edu/gallery/photos/GVP-01168.jpg,Stratovolcano,Indonesia,Indonesia,Java,holocene,Unknown - Evidence Uncertain,"1247 m, 4091 ft",7.85°S,114.37°E,1313,59107,437688,5474053
Balut,https://volcano.si.edu/gallery/photos/GVP-11049.jpg,Stratovolcano,Philippines,Philippines and SE Asia,Mindanao,holocene,Unknown - Unrest / Holocene,"862 m, 2828 ft",5.4°N,125.375°E,1472,1901,10763,1286239
Bam,https://volcano.si.edu/gallery/photos/GVP-00436.jpg,Stratovolcano,Papua New Guinea,Melanesia and Australia,Northeast of New Guinea,holocene,1960 CE,"685 m, 2247 ft",3.613°S,144.818°E,192,192,462,103203
Bamus,https://volcano.si.edu/gallery/photos/GVP-06090.jpg,Stratovolcano,Papua New Guinea,Melanesia and Australia,New Britain,holocene,1886 CE,"2248 m, 7375 ft",5.2°S,151.23°E,50,630,19320,71997
Banahaw,https://volcano.si.edu/gallery/photos/GVP-01864.jpg,Complex,Philippines,Philippines and SE Asia,Luzon,holocene,Unknown - Evidence Credible,"2158 m, 7080 ft",14.07°N,121.48°E,754,93134,1698285,23837289
Banda Api,https://volcano.si.edu/gallery/photos/GVP-00831.jpg,Caldera,Indonesia,Indonesia,Banda Sea,holocene,1988 CE,"596 m, 1955 ft",4.523°S,129.881°E,5682,5682,5810,5810
Bandaisan,https://volcano.si.edu/gallery/photos/GVP-02045.jpg,Stratovolcano,Japan,"Japan, Taiwan, Marianas",Honshu,holocene,1888 CE,"1816 m, 5958 ft",37.601°N,140.072°E,5923,17608,327454,4709782
Banua Wuhu,https://volcano.si.edu/includes/images/noimage.jpg,Submarine,Indonesia,Indonesia,Sangihe Islands,holocene,1919 CE,"-5 m, -16 ft",3.138°N,125.491°E,359,480,4586,69756
Barcena,https://volcano.si.edu/gallery/photos/GVP-03638.jpg,Pyroclastic cone(s),Mexico,México and Central America,Mexico,holocene,1953 CE,"332 m, 1089 ft",19.3°N,110.82°W,0,0,0,0
Bardarbunga,https://volcano.si.edu/gallery/photos/GVP-05174.jpg,Stratovolcano,Iceland,Iceland and Arctic Ocean,Iceland (northeastern),holocene,2015 CE,"2000 m, 6562 ft",64.633°N,17.516°W,0,0,0,1348
Barkhatnaya Sopka,https://volcano.si.edu/gallery/photos/GVP-10363.jpg,Lava dome(s),Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,holocene,3550 BCE,"874 m, 2867 ft",52.802°N,158.24°E,0,208,13963,252873
